country,city,lat,lon,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,total_city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
united states,emeryville,37.8395028,-122.2892278,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11758,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
hong kong,hong kong island,22.2827206,114.2123009,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",1252100,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA
hong kong,new territories,22.3908295,113.9725126,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",3932700,13,NA,NA,NA,NA,1,1,1,2,5,3
united states,deerfield,42.1711365,-87.8445119,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,18946,11,NA,NA,NA,NA,1,1,2,2,2,3
vietnam,hanoi,21.0277644,105.8341598,Asia,South-eastern Asia,Developing economies,6858,6.49E+11,0.693,-0.623084,4378000,23,NA,NA,1,2,3,NA,5,6,2,4
japan,nagoya,35.1814506,136.9065571,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,2296014,9,NA,NA,NA,NA,1,2,2,1,1,2
united states,riverton,43.024673,-108.3806054,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,43344,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
united states,billings,45.7832856,-108.5006904,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,110323,6,NA,NA,NA,1,1,1,2,1,NA,NA
united states,horsham,40.1784422,-75.1285061,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,14563,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,honolulu,21.2991603,-157.8560005,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,351792,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,brattleboro,42.8509152,-72.5578678,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11646,3,NA,NA,1,1,1,NA,NA,NA,NA,NA
mexico,puebla,19.0414398,-98.2062727,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,2195000,5,NA,NA,NA,NA,1,1,NA,1,2,NA
united states,bradenton,27.4989278,-82.5748194,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,56508,4,NA,NA,NA,NA,2,NA,1,1,NA,NA
united states,oklahoma city,35.4675602,-97.5164276,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,638367,4,NA,NA,2,NA,1,1,NA,NA,NA,NA
taiwan,douliu,23.7077947,120.5409089,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",106653,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA
united states,greensboro,36.0726354,-79.7919754,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,287027,31,NA,NA,NA,NA,5,3,4,9,3,7
united states,lewiston,46.4004089,-117.001189,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,58796,4,NA,NA,NA,2,1,1,NA,NA,NA,NA
united states,bethesda,38.984652,-77.0947092,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,63168,4,NA,NA,NA,NA,1,NA,1,2,NA,NA
colombia,sesquile,5.045268,-73.796925,Americas,South America,Developing economies,14507,7.09E+11,0.761,0.144356,"NA",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
canada,sault ste. marie,46.5136494,-84.3357526,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,"NA",13,NA,NA,NA,2,4,2,4,1,NA,NA
united states,west hollywood,34.0900091,-118.3617443,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,37080,27,NA,NA,NA,NA,1,12,10,4,NA,NA
united states,lakewood,39.7047095,-105.0813734,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,154393,3,NA,NA,1,NA,1,NA,NA,NA,1,NA
united states,richmond,37.5407246,-77.4360481,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,109813,47,NA,NA,2,2,6,5,5,8,13,6
united states,birmingham,33.5185892,-86.8103567,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,212157,35,NA,NA,2,1,7,9,5,5,3,3
united states,spring house,40.1853862,-75.2276756,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",2,NA,NA,NA,NA,1,NA,NA,NA,1,NA
united states,yonkers,40.9312099,-73.8987469,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,200807,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,athens,33.9519347,-83.357567,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,123371,18,NA,1,1,NA,1,4,3,4,1,3
saudi arabia,king abdullah economic city,22.4486944,39.1335549,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,"NA",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,madison,43.0730517,-89.4012302,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,252551,15,NA,NA,NA,NA,3,2,3,3,1,3
united states,yakima,46.6020711,-120.5058987,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,133233,27,NA,NA,NA,NA,3,2,8,7,4,3
united states,san juan county,36.3882439,-108.2377519,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,36981,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA
taiwan,hsinchu,24.8138287,120.9674798,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",750000,13,NA,NA,NA,NA,4,3,1,2,2,1
canada,whitehorse,60.7211871,-135.0568448,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,23276,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
united states,shaker heights,41.4739419,-81.5370671,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,27440,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA
united states,kalamazoo,42.2917069,-85.5872286,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,214083,8,NA,NA,NA,1,1,1,3,1,NA,1
united states,sandy springs,33.9304352,-84.3733147,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,105703,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA
united states,bridgewater township,40.5939636,-74.6049061,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,45336,3,NA,NA,NA,NA,1,NA,1,1,NA,NA
united states,saratoga springs,43.0831301,-73.7845651,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,67582,4,NA,NA,NA,NA,1,1,1,1,NA,NA
united states,park city,40.6460622,-111.4979729,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,14800,20,NA,1,1,3,4,1,2,3,3,2
united states,fort hood,31.1950013,-97.7413143,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,26472,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,deer park,29.7052284,-95.1238204,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,33891,3,NA,NA,NA,NA,1,NA,NA,NA,1,1
united states,sandy,40.5649781,-111.8389726,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,96145,3,NA,NA,NA,NA,1,1,1,NA,NA,NA
united states,hiawatha,42.0491958,-91.6815252,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,7353,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
united states,newtown,41.4141172,-73.3035651,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",4,NA,NA,NA,NA,1,1,1,1,NA,NA
united states,cupertino,37.3229978,-122.0321823,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,60777,12,NA,NA,NA,NA,1,1,3,4,1,2
united states,utica,43.100903,-75.232664,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,114318,12,NA,NA,NA,NA,4,2,3,1,1,1
china,dalian,38.914003,121.614682,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,3167000,23,NA,NA,1,4,4,2,2,4,5,1
united states,whitefish,48.4106373,-114.3352652,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,7540,3,NA,NA,NA,NA,NA,1,1,NA,1,NA
united states,wellesley,42.296797,-71.2923877,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,29004,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA
pakistan,chakwal,32.9327882,72.8629576,Asia,Southern Asia,Developing economies,5249,1.09E+12,0.56,-0.859978,"NA",2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
united states,palm springs,33.8302961,-116.5452921,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,48142,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,city of industry,34.0197335,-117.9586754,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA
united states,los angeles,34.0928092,-118.3286614,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,3884307,3,NA,NA,NA,NA,NA,1,NA,1,NA,1
canada,moose jaw,50.3915811,-105.5348562,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,32166,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,ogden,41.223,-111.9738304,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,573632,3,NA,NA,NA,NA,NA,1,NA,NA,1,1
canada,sydney,46.1367899,-60.194224,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,37538,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,elon,36.0982762,-79.5115433,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,10227,4,NA,NA,1,NA,NA,1,1,NA,1,NA
argentina,la rioja,-29.4134538,-66.8564579,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,162620,5,NA,NA,NA,1,1,2,1,NA,NA,NA
united states,west chester,39.9606643,-75.6054882,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,20060,9,NA,NA,1,NA,NA,1,2,2,1,2
united states,orange,33.7879139,-117.8531007,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,140504,5,NA,NA,NA,1,1,1,1,1,NA,NA
taiwan,new taipei city,25.0169826,121.4627868,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",4014560,12,NA,NA,NA,NA,NA,1,1,2,4,4
japan,kagoshima,31.5968539,130.5571392,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,599814,6,NA,NA,NA,NA,3,2,1,NA,NA,NA
united states,rockville,39.0839973,-77.1527578,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,68401,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
united states,summerville,33.0185039,-80.1756481,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,50388,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA
canada,greater sudbury,46.4917317,-80.993029,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,168141,5,NA,NA,NA,1,1,2,1,NA,NA,NA
united states,fort lauderdale,26.1224386,-80.1373174,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,178752,16,NA,NA,1,1,1,1,2,2,4,4
united states,pullman,46.7297771,-117.1817377,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,33276,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA
panama,panama city,8.9823792,-79.5198696,Americas,Central America,Developing economies,24472,1.01E+11,0.795,0.119062,481993,16,NA,NA,NA,1,2,4,3,2,2,2
uruguay,colonia del sacramento,-34.4607189,-57.8339099,Americas,South America,Developing economies,22728,78108553378,0.808,0.207869,21714,4,NA,NA,NA,NA,NA,1,1,1,NA,1
china,yantai,37.464539,121.447852,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,2116000,7,NA,NA,NA,NA,NA,1,NA,1,5,NA
united states,biddeford,43.4925843,-70.4533844,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,21488,6,NA,NA,NA,NA,2,1,2,1,NA,NA
united states,catonsville,39.2720509,-76.7319161,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,41440,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,tomball,30.0971621,-95.6160549,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,11707,4,NA,NA,NA,NA,NA,1,1,1,NA,1
united states,santa rosa,38.440429,-122.7140548,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,175155,13,NA,NA,NA,1,1,1,2,4,3,1
united states,la casada flintridge,34.2068182,-118.2000277,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,20413,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA
india,nagpur,21.1458004,79.0881546,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,2454000,9,NA,NA,1,NA,1,2,NA,2,1,2
united states,old town manassas,38.7509488,-77.4752667,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,41501,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,denton,33.2148412,-97.1330683,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,133808,5,NA,NA,NA,NA,NA,1,1,2,1,NA
canada,campbellford,44.3083541,-77.7977003,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,"NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,holbrook,34.9022482,-110.1581768,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,26117,8,NA,NA,NA,NA,1,4,2,1,NA,NA
brazil,lodz,-23.2639992,-47.2996733,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,168643,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
lebanon,juniyah,34.0072046,35.6496552,Asia,Western Asia,Developing economies,12814,87286452031,0.73,0.0803256,"NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,ossining,41.1628731,-73.8615246,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,25403,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
yemen,taizz,13.5775886,44.0177989,Asia,Western Asia,Developing economies,2645,73631685331,0.463,-0.97195,751000,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
chile,lautaro,-38.5084312,-72.4541343,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,"NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,san bernardino,34.1083449,-117.2897652,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,216239,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA
united states,deland,29.028318,-81.3031179,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,32506,9,NA,NA,NA,NA,1,1,1,NA,NA,6
united states,scranton,41.408969,-75.6624122,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,389022,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA
united states,north canton,40.875891,-81.4023356,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,17290,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
canada,regina,50.4452112,-104.6188943,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,233170,8,NA,NA,NA,1,1,1,2,NA,1,2
canada,red deer,52.268975,-113.8115599,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,104493,4,NA,NA,2,1,NA,1,NA,NA,NA,NA
united states,northwood,41.607272,-83.4688204,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5396,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
india,roorkee,29.8542626,77.8880002,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",7,NA,1,NA,NA,1,1,1,1,2,NA
united states,winston-salem,36.0998596,-80.244216,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,242203,9,NA,NA,NA,1,1,1,1,2,2,1
united states,lancaster,40.0378755,-76.3055144,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,160106,8,NA,NA,NA,NA,NA,2,3,2,NA,1
united states,red bank,40.3470543,-74.0643065,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,12150,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,portsmouth,43.0717552,-70.7625532,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,94572,9,NA,NA,NA,NA,1,2,1,1,1,3
united states,wenatchee,47.4234599,-120.3103494,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,71512,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,new albany,38.2856247,-85.8241312,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,36461,7,NA,NA,NA,1,NA,2,1,1,1,1
mexico,ensenada,31.8667427,-116.5963713,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,256565,3,NA,NA,1,1,NA,1,NA,NA,NA,NA
bolivia,santa cruz de la sierra,-17.8145819,-63.1560853,Americas,South America,Developing economies,7480,83723411343,0.703,-1.07744,1616062.808,11,NA,NA,NA,NA,1,1,NA,2,3,4
united states,wolfeboro,43.5852069,-71.2094799,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,6235,7,NA,NA,NA,NA,2,4,NA,NA,NA,1
united states,traverse city,44.7630567,-85.6206317,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,49806,13,NA,NA,1,1,1,5,2,1,1,1
china,hangzhou,30.274084,120.15507,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,3007000,36,NA,2,3,1,3,5,4,6,3,9
canada,penticton,49.4991381,-119.5937077,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,37721,9,NA,NA,2,1,NA,3,1,2,NA,NA
bermuda,southampton parish,32.2540095,-64.8259058,Americas,Northern America,Developed economies,99400,6.13E+09,"NA","NA","NA",7,NA,NA,1,1,1,1,1,NA,1,1
united states,casper,42.8500769,-106.3251749,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,67462,6,NA,NA,NA,NA,1,2,1,1,1,NA
ecuador,guayaquil,-2.1894128,-79.8890662,Americas,South America,Developing economies,11501,1.93E+11,0.758,-0.933232,2581884,7,NA,NA,1,1,1,1,1,1,NA,1
united states,hill air force base,41.10968,-111.9826984,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",8,NA,NA,NA,NA,NA,4,2,2,NA,NA
united states,westport,41.1414717,-73.3579049,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,27777,7,NA,NA,1,NA,1,3,1,1,NA,NA
united states,gambier,40.3756194,-82.3971038,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
mongolia,ulaanbaatar,47.8863988,106.9057439,Asia,Eastern Asia,Developing economies,12787,39816777184,0.735,-0.78801,1477174,36,NA,NA,1,4,2,3,5,5,8,8
iran,torreon,35.6891975,51.3889736,Asia,Southern Asia,Developing economies,21011,1.70E+12,0.797,-0.158038,8693706,29,NA,NA,NA,NA,3,4,4,4,7,7
bangladesh,dhaka,23.810332,90.4125181,Asia,Southern Asia,Developing economies,3998,6.38E+11,0.614,-1.71442,8906039,28,1,NA,1,4,3,2,2,3,6,6
united states,worcester,42.2625932,-71.8022934,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,184508,12,NA,NA,NA,NA,NA,2,2,2,2,4
united states,carmel-by-the-sea,36.5552386,-121.9232879,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,92198,8,NA,NA,NA,NA,1,1,1,1,3,1
argentina,san martin,-34.5757521,-58.5370965,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,117399,4,NA,NA,NA,NA,NA,1,1,NA,2,NA
taiwan,yilan county,24.7021073,121.7377502,Asia,Eastern Asia,Developing economies,50500,1.19E+12,"NA","NA",150000,3,NA,NA,NA,1,1,1,NA,NA,NA,NA
united states,redondo beach,33.8491816,-118.3884078,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,67908,18,NA,NA,NA,3,2,4,NA,3,2,4
united states,hillsborough,37.5741032,-122.3794163,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,39712,3,NA,NA,NA,NA,NA,1,1,1,NA,NA
philippines,pasig,14.5763768,121.0851097,Asia,South-eastern Asia,Developing economies,8340,8.77E+11,0.712,0.381087,755300,3,NA,NA,NA,NA,NA,1,1,NA,1,NA
united states,laguna beach,33.5427189,-117.7853568,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,23147,7,NA,NA,NA,3,2,1,1,NA,NA,NA
united states,belen heredia,33.0198431,-96.6988856,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,286057,15,NA,NA,NA,NA,NA,2,2,1,6,4
united states,high point,35.9556923,-80.0053176,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,111223,5,NA,NA,NA,1,1,2,NA,NA,NA,1
pakistan,peshawar,34.0151366,71.5249154,Asia,Southern Asia,Developing economies,5249,1.09E+12,0.56,-0.859978,1970042,6,NA,NA,1,NA,2,1,NA,NA,1,1
south korea,daegu,35.8714354,128.601445,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,2465268,25,NA,2,4,3,3,2,3,2,4,2
india,kolhapur,16.7049873,74.2432527,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,750000,3,NA,NA,NA,NA,NA,1,1,NA,NA,1
china,changsha,28.228209,112.938814,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,2604000,11,NA,1,NA,NA,NA,1,2,3,2,2
bahrain,zallaq,26.0465212,50.4980362,Asia,Western Asia,Developing economies,47660,71208283858,0.838,"NA","NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,waimea,20.0230556,-155.6716667,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,12064,3,NA,NA,NA,NA,NA,1,NA,NA,1,1
south korea,hwaseong-si,37.1994932,126.8311887,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,"NA",4,NA,NA,NA,NA,NA,2,2,NA,NA,NA
israel,beeer sheva,31.252973,34.791462,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,206680,8,NA,NA,1,1,1,1,1,1,NA,2
hong kong,hong kong island,22.2884683,114.192803,Asia,Eastern Asia,Developing economies,61500,4.56E+11,"NA","NA",1252100,5,NA,NA,1,NA,NA,1,2,1,NA,NA
united states,great falls,47.5052849,-111.3007715,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,65624,26,NA,NA,NA,NA,1,9,11,5,NA,NA
united states,hartsdale,41.0189863,-73.7981884,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5114,3,NA,NA,NA,NA,NA,1,1,1,NA,NA
united states,cerritos,33.8583483,-118.0647871,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,51020,5,NA,NA,NA,NA,NA,1,1,1,1,1
united states,salem,42.51954,-70.8967155,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,167419,9,NA,NA,NA,NA,1,1,1,1,3,2
pakistan,hyderabad,25.3959687,68.357776,Asia,Southern Asia,Developing economies,5249,1.09E+12,0.56,-0.859978,1732693,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA
vietnam,ho chi minh city,10.8230989,106.6296638,Asia,South-eastern Asia,Developing economies,6858,6.49E+11,0.693,-0.623084,8993082,29,NA,1,2,3,1,2,1,5,6,8
mexico,queretaro,20.5888184,-100.3898876,Americas,Northern America,Developing economies,19432,2.42E+12,0.767,1.09955,961000,3,NA,NA,NA,NA,NA,1,NA,1,NA,1
japan,beppu,33.2844614,131.4907093,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,122138,4,NA,NA,NA,NA,NA,1,1,1,1,NA
united states,cape elizabeth,43.563696,-70.2000467,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,9235,5,NA,NA,NA,1,NA,1,1,1,NA,1
saudi arabia,dammam,26.4206828,50.0887943,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,903312,4,NA,NA,NA,1,NA,1,1,1,NA,NA
united states,elmira,42.0897965,-76.8077338,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,64664,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA
yemen,sanaa,15.3694451,44.1910066,Asia,Western Asia,Developing economies,2645,73631685331,0.463,-0.97195,1976286,36,NA,NA,NA,NA,2,9,9,13,1,2
china,nanchang,28.682892,115.858197,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,2350000,10,NA,NA,NA,NA,1,2,1,3,2,1
united states,los alamos,35.8800364,-106.3031138,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,12035,8,NA,NA,NA,2,NA,1,1,2,1,1
kazakhstan,karabulak,44.9134477,78.4752212,Asia,Central Asia,Transition economies,26491,4.78E+11,0.817,0.0883664,"NA",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
canada,moncton,46.0878165,-64.7782313,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,75613,10,NA,NA,NA,NA,1,1,NA,3,2,3
united states,kissimmee,28.2919557,-81.407571,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,374231,3,NA,NA,NA,NA,NA,1,1,1,NA,NA
canada,windsor,42.3149367,-83.0363633,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,229787,8,NA,NA,3,1,NA,1,NA,NA,NA,3
china,changchun,43.817071,125.323544,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,3183000,5,NA,NA,NA,1,NA,2,2,NA,NA,NA
india,bhilwara,25.3407388,74.6313183,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,389911,9,NA,NA,NA,NA,NA,4,2,1,2,NA
brazil,blumenau,-26.9165792,-49.0717331,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,343715,16,NA,NA,NA,NA,NA,1,3,5,3,4
united states,fishers,39.9567548,-86.01335,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,91832,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA
japan,kobe,34.6900806,135.1956311,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,1537272,23,NA,NA,NA,NA,1,4,6,7,3,2
united states,new britain,41.6612104,-72.7795419,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,72710,8,NA,NA,NA,NA,1,1,2,3,NA,1
lebanon,mount lebanon governorate,33.8100858,35.5973139,Asia,Western Asia,Developing economies,12814,87286452031,0.73,0.0803256,"NA",45,NA,NA,NA,NA,NA,14,19,7,5,NA
united states,montgomery,40.4201165,-74.7146817,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,200022,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
united states,fort worth,32.7554883,-97.3307658,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,854113,15,NA,1,NA,2,2,3,2,1,1,3
